tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	0	0.0
Gold standard	phylum	Bray-Curtis distance	0	0.0
Gold standard	class	Bray-Curtis distance	0	0.0
Gold standard	order	Bray-Curtis distance	0	0.0
Gold standard	family	Bray-Curtis distance	0	0.0
Gold standard	genus	Bray-Curtis distance	0	0.0
Gold standard	species	Bray-Curtis distance	0	0.0
Gold standard	strain	Bray-Curtis distance	0	0.0
Gold standard	superkingdom	Shannon diversity	0	0.4135998548754722
Gold standard	superkingdom	Shannon equitability	0	0.5966984595412387
Gold standard	phylum	Shannon diversity	0	1.2817066021412153
Gold standard	phylum	Shannon equitability	0	0.45238619422363696
Gold standard	class	Shannon diversity	0	1.756331224636351
Gold standard	class	Shannon equitability	0	0.545634973262215
Gold standard	order	Shannon diversity	0	2.841889615979529
Gold standard	order	Shannon equitability	0	0.6758852247304503
Gold standard	family	Shannon diversity	0	3.231671913247059
Gold standard	family	Shannon equitability	0	0.6888578707813704
Gold standard	genus	Shannon diversity	0	3.7119191795230777
Gold standard	genus	Shannon equitability	0	0.7140369913069338
Gold standard	species	Shannon diversity	0	3.8132784538877855
Gold standard	species	Shannon equitability	0	0.6876747393690803
Gold standard	strain	Shannon diversity	0	4.588593292644185
Gold standard	strain	Shannon equitability	0	0.7694361101365044
Gold standard	superkingdom	True positives	0	2.0
Gold standard	superkingdom	False negatives	0	0.0
Gold standard	superkingdom	False positives	0	0.0
Gold standard	superkingdom	Completeness	0	1.0
Gold standard	superkingdom	Purity	0	1.0
Gold standard	superkingdom	F1 score	0	1.0
Gold standard	superkingdom	Jaccard index	0	1.0
Gold standard	superkingdom	Taxon counts	0	2.0
Gold standard	phylum	True positives	0	17.0
Gold standard	phylum	False negatives	0	0.0
Gold standard	phylum	False positives	0	0.0
Gold standard	phylum	Completeness	0	1.0
Gold standard	phylum	Purity	0	1.0
Gold standard	phylum	F1 score	0	1.0
Gold standard	phylum	Jaccard index	0	1.0
Gold standard	phylum	Taxon counts	0	17.0
Gold standard	class	True positives	0	25.0
Gold standard	class	False negatives	0	0.0
Gold standard	class	False positives	0	0.0
Gold standard	class	Completeness	0	1.0
Gold standard	class	Purity	0	1.0
Gold standard	class	F1 score	0	1.0
Gold standard	class	Jaccard index	0	1.0
Gold standard	class	Taxon counts	0	25.0
Gold standard	order	True positives	0	67.0
Gold standard	order	False negatives	0	0.0
Gold standard	order	False positives	0	0.0
Gold standard	order	Completeness	0	1.0
Gold standard	order	Purity	0	1.0
Gold standard	order	F1 score	0	1.0
Gold standard	order	Jaccard index	0	1.0
Gold standard	order	Taxon counts	0	67.0
Gold standard	family	True positives	0	109.0
Gold standard	family	False negatives	0	0.0
Gold standard	family	False positives	0	0.0
Gold standard	family	Completeness	0	1.0
Gold standard	family	Purity	0	1.0
Gold standard	family	F1 score	0	1.0
Gold standard	family	Jaccard index	0	1.0
Gold standard	family	Taxon counts	0	109.0
Gold standard	genus	True positives	0	181.0
Gold standard	genus	False negatives	0	0.0
Gold standard	genus	False positives	0	0.0
Gold standard	genus	Completeness	0	1.0
Gold standard	genus	Purity	0	1.0
Gold standard	genus	F1 score	0	1.0
Gold standard	genus	Jaccard index	0	1.0
Gold standard	genus	Taxon counts	0	181.0
Gold standard	species	True positives	0	256.0
Gold standard	species	False negatives	0	0.0
Gold standard	species	False positives	0	0.0
Gold standard	species	Completeness	0	1.0
Gold standard	species	Purity	0	1.0
Gold standard	species	F1 score	0	1.0
Gold standard	species	Jaccard index	0	1.0
Gold standard	species	Taxon counts	0	256.0
Gold standard	strain	True positives	0	389.0
Gold standard	strain	False negatives	0	0.0
Gold standard	strain	False positives	0	0.0
